date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:04	74/74	---M--	200	added ('OK')	text/plain	etag:%224a-52e142e0190f1%22	https://bert.house/robots.txt		(from )
18:07:05	22894/22894	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202016%2000:07:05%20GMT	https://bert.house/en/	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/bert.house/en/index.html	(from )
18:07:05	27373/27373	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2021%20Aug%202016%2000:07:07%20GMT	https://use.typekit.net/ali4ccc.js	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/use.typekit.net/ali4ccc.js	(from https://bert.house/en/)
18:07:06	28019/28019	---M--	200	added ('OK')	text/css	etag:%226d73-52e142e01c3b9%22	https://bert.house/vendor/video-player/video-js.css	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/bert.house/vendor/video-player/video-js.css	(from https://bert.house/en/)
18:07:07	7474/7474	---M--	200	added ('OK')	text/css	etag:%221d32-52e142e01b801%22	https://bert.house/vendor/dropdown/dropdown.css	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/bert.house/vendor/dropdown/dropdown.css	(from https://bert.house/en/)
18:07:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2021%20Aug%202016%2000:07:09%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/www.googletagmanager.com/gtm.55445.delayed	(from https://bert.house/en/)
18:07:09	53010/53010	---M--	200	added ('OK')	application/javascript	etag:%22cf12-52e142e01b419%22	https://bert.house/scripts/modernizr.js	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/bert.house/scripts/modernizr.js	(from https://bert.house/en/)
18:07:09	129054/129054	---M--	200	added ('OK')	text/css	etag:%221f81e-52e8d21b69112%22	https://bert.house/styles/app.css	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/bert.house/styles/app.css	(from https://bert.house/en/)
18:07:10	34170/34170	---M--	200	added ('OK')	image/gif	etag:%22857a-52e8d21b5d592%22	https://bert.house/images/bert_loader.gif	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/bert.house/images/bert_loader.gif	(from https://bert.house/en/)
18:07:11	33683/33683	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Aug%202016%2000:07:12%20GMT	https://bert.house/en/cases	C:/Users/Bryan/Desktop/Escritorio/WS/Plantillas%20de%20Apoyo/08/bert.house/en/cases.html	(from https://bert.house/en/)
